# Constructed from biom file
#OTU ID	SRR9277638	SRR9277639	SRR9277640	SRR9277641	SRR9277642	SRR9277643	SRR9277644	SRR9277645	SRR9277646	SRR9277647	SRR9277648	SRR9277649	SRR9277650	SRR9277651	SRR9277652	SRR9277653	SRR9277654	SRR9277655	SRR9277656	SRR9277657	SRR9277658	SRR9277659	SRR9277660	SRR9277661	SRR9277662	SRR9277663	SRR9277664	SRR9277665	SRR9277666	SRR9277667
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella	364.0	454.0	0.0	0.0	131.0	38.0	1207.0	0.0	0.0	127.0	93.0	380.0	218.0	0.0	556.0	0.0	5.0	0.0	0.0	86.0	41.0	191.0	0.0	0.0	0.0	572.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	56.0	550.0	8.0	0.0	107.0	1149.0	174.0	16.0	0.0	0.0	82.0	211.0	444.0	0.0	421.0	35.0	611.0	17.0	0.0	415.0	0.0	101.0	22.0	368.0	84.0	163.0	37.0	741.0	0.0	160.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group	0.0	27.0	0.0	0.0	0.0	386.0	16.0	0.0	0.0	0.0	9.0	3.0	56.0	0.0	1665.0	12.0	101.0	0.0	0.0	209.0	0.0	115.0	104.0	0.0	0.0	4.0	26.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum	0.0	1319.0	0.0	0.0	0.0	72.0	228.0	0.0	0.0	92.0	0.0	166.0	414.0	0.0	264.0	0.0	58.0	0.0	0.0	40.0	77.0	79.0	0.0	2.0	0.0	24.0	18.0	29.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0.0	303.0	0.0	0.0	0.0	638.0	251.0	15.0	68.0	0.0	0.0	33.0	217.0	23.0	250.0	0.0	105.0	13.0	0.0	145.0	91.0	141.0	0.0	375.0	0.0	968.0	0.0	193.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Candidatus_Saccharimonas	0.0	0.0	0.0	0.0	0.0	172.0	273.0	67.0	1299.0	38.0	0.0	63.0	165.0	1163.0	167.0	44.0	65.0	0.0	0.0	122.0	58.0	93.0	59.0	79.0	0.0	0.0	0.0	14.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__Absconditabacteriales_(SR1);g__Absconditabacteriales_(SR1)	0.0	32.0	0.0	0.0	0.0	552.0	519.0	0.0	0.0	60.0	0.0	44.0	173.0	0.0	67.0	0.0	0.0	0.0	0.0	10.0	54.0	116.0	2.0	36.0	0.0	99.0	8.0	1332.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Filifactor	0.0	0.0	0.0	0.0	0.0	672.0	0.0	27.0	0.0	0.0	13.0	0.0	247.0	0.0	0.0	0.0	108.0	0.0	0.0	553.0	0.0	452.0	0.0	15.0	88.0	46.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	207.0	0.0	0.0	0.0	99.0	30.0	0.0	0.0	0.0	0.0	4.0	0.0	23.0	0.0	46.0	7.0	0.0	0.0	0.0	4.0	13.0	24.0	188.0	0.0	0.0	8.0	0.0	4.0	543.0	1240.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0.0	0.0	0.0	2727.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	6.0	79.0	46.0	62.0	6.0	65.0	255.0	96.0	0.0	119.0	302.0	94.0	1156.0	0.0	66.0	17.0	52.0	410.0	4.0	262.0	0.0	303.0	350.0	142.0	0.0	38.0	37.0	5.0	21.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	56.0	40.0	0.0	0.0	35.0	848.0	32.0	0.0	0.0	0.0	18.0	90.0	104.0	0.0	66.0	55.0	66.0	0.0	0.0	189.0	4.0	457.0	115.0	0.0	2.0	0.0	0.0	81.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	1600.0	43.0	0.0	0.0	402.0	550.0	156.0	25.0	0.0	25.0	98.0	234.0	132.0	0.0	180.0	120.0	57.0	8.0	0.0	312.0	0.0	297.0	165.0	118.0	78.0	66.0	87.0	4.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella	0.0	6.0	1516.0	0.0	2.0	5.0	169.0	68.0	0.0	249.0	7.0	480.0	46.0	0.0	42.0	521.0	9.0	27.0	20.0	50.0	48.0	582.0	12.0	16.0	0.0	143.0	0.0	26.0	0.0	19.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonadaceae	272.0	166.0	55.0	0.0	309.0	925.0	56.0	18.0	0.0	131.0	0.0	194.0	74.0	0.0	811.0	11.0	103.0	5.0	0.0	1050.0	0.0	36.0	304.0	17.0	105.0	191.0	0.0	430.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	0.0	35.0	0.0	0.0	0.0	445.0	31.0	0.0	0.0	0.0	2.0	0.0	81.0	0.0	596.0	18.0	18.0	8.0	0.0	1032.0	576.0	119.0	205.0	68.0	0.0	0.0	0.0	152.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	107.0	19.0	2.0	0.0	32.0	941.0	12.0	0.0	30.0	0.0	157.0	62.0	0.0	80.0	55.0	20.0	24.0	2.0	503.0	0.0	23.0	0.0	2.0	0.0	8.0	0.0	37.0	1381.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella	0.0	11.0	0.0	0.0	0.0	14.0	881.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	375.0	12.0	0.0	0.0	0.0	27.0	54.0	10.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	1208.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia	0.0	11.0	0.0	0.0	0.0	15.0	267.0	0.0	0.0	1161.0	328.0	131.0	538.0	0.0	47.0	94.0	41.0	61.0	74.0	0.0	68.0	15.0	0.0	0.0	31.0	0.0	0.0	167.0	0.0	12.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group	0.0	659.0	0.0	0.0	17.0	1087.0	367.0	0.0	0.0	27.0	26.0	332.0	328.0	0.0	583.0	22.0	88.0	0.0	0.0	194.0	0.0	218.0	114.0	94.0	0.0	0.0	2.0	353.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.0	859.0	0.0	0.0	0.0	397.0	40.0	13.0	0.0	0.0	54.0	182.0	953.0	0.0	10.0	15.0	674.0	285.0	31.0	42.0	0.0	139.0	20.0	73.0	0.0	20.0	78.0	247.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria	0.0	3.0	0.0	0.0	0.0	6.0	16.0	0.0	0.0	0.0	0.0	620.0	74.0	0.0	174.0	0.0	353.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;__;__;__;__;__	15.0	0.0	0.0	105.0	4.0	4.0	0.0	52.0	0.0	29.0	126.0	0.0	1.0	0.0	3.0	4.0	3.0	0.0	70.0	5.0	67.0	64.0	161.0	45.0	18.0	1.0	51.0	4.0	6.0	845.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	0.0	44.0	12.0	0.0	4.0	615.0	157.0	30.0	0.0	57.0	37.0	246.0	750.0	0.0	227.0	186.0	146.0	265.0	0.0	1290.0	0.0	189.0	84.0	7.0	24.0	61.0	577.0	410.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	576.0	36.0	50.0	0.0	0.0	0.0	0.0	38.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0.0	4.0	0.0	0.0	0.0	172.0	51.0	205.0	670.0	0.0	0.0	0.0	1389.0	0.0	371.0	6.0	164.0	43.0	8.0	1012.0	7.0	706.0	198.0	0.0	0.0	25.0	0.0	81.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	50.0	344.0	0.0	0.0	0.0	188.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	98.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_saphenum_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	56.0	0.0	0.0	0.0	0.0	104.0	0.0	178.0	191.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
